industry_name,avg_skills_required,total_jobs
Theater Companies,1.5,2
Staffing and Recruiting,1.4834761321909424,8987
Legal Services,1.4587458745874586,909
Civic and Social Organizations,1.458259325044405,563
Education Management,1.4456521739130435,184
Internet Marketplace Platforms,1.439153439153439,189
Hospitals,1.4285714285714286,84
Veterinary Services,1.4227642276422765,492
Non-profit Organization Management,1.4222222222222223,90
Human Resources,1.4,125
Program Development,1.4,5
Individual and Family Services,1.3820224719101124,445
Law Practice,1.3806509945750451,1106
Wind Electric Power Generation,1.3333333333333333,3
Wineries,1.3333333333333333,3
Consumer Goods Rental,1.3333333333333333,6
Medical Practices,1.3051948051948052,1232
Mental Health Care,1.3004926108374384,812
Wellness and Fitness Services,1.2837301587301588,1512
Hospitals and Health Care,1.2502325581395348,18275
Veterinary,1.25,4
"Health, Wellness & Fitness",1.2452830188679245,53
Data Security Software Products,1.2380952380952381,21
Home Health Care Services,1.2307692307692308,26
Retail Books and Printed News,1.2,5
Warehousing,1.2,5
"Physical, Occupational and Speech Therapists",1.0909090909090908,11
Waste Treatment and Disposal,1.0,1
"Bed-and-Breakfasts, Hostels, Homestays",1.0,3
Collection Agencies,1.0,1
Building Equipment Contractors,1.0,1
Maritime,1.0,1
Wholesale Drugs and Sundries,1.0,2
Amusement Parks and Arcades,1.0,2
Credit Intermediation,1.0,2
Abrasives and Nonmetallic Minerals Manufacturing,1.0,1
Dentists,1.0,7
